serial,type,cycle,value
SN 001,F01,5,1.2558245340966667
SN 001,F01,5,1.2552401224766667
SN 001,F01,5,1.2530002593966667
SN 001,F01,5,1.2511932373033334
SN 001,F01,5,1.2478680928533334
SN 001,F01,5,1.2461537679033334
SN 001,F01,5,1.24607035319
SN 001,F01,5,1.2457241058333333
SN 001,F01,5,1.2463531494133333
SN 001,F01,5,1.2466608683266667
SN 001,F01,5,1.2482175191233333
SN 001,F01,5,1.2500539143866667
SN 001,F01,5,1.2492500305166667
SN 001,F01,5,1.2484322865800002
SN 001,F01,5,1.2469205220533333
SN 001,F01,5,1.2467056274400001
SN 001,F01,5,1.2456235249833334
SN 001,F01,5,1.2453762054433333
SN 001,F01,5,1.2456606547033333
SN 001,F01,5,1.2469807942700002
SN 001,F01,5,1.24946339925
SN 001,F01,5,1.2509660085033334
SN 001,F01,5,1.25340677897
SN 001,F01,5,1.2538953145333334
SN 001,F01,5,1.2540977478
SN 001,F01,5,1.2548660278300001
SN 001,F01,5,1.2543575286833333
SN 001,F01,5,1.25276069641
SN 001,F01,5,1.25364481608
SN 001,F01,5,1.25461095174
SN 001,F01,5,1.2554040273
SN 001,F01,5,1.2560269673633333
SN 001,F01,5,1.25638402303
SN 001,F01,5,1.25717557271
SN 001,F01,5,1.2570889790833335
SN 001,F01,5,1.2576021830233333
SN 001,F01,5,1.2577227274566667
SN 001,F01,5,1.2577382405566666
SN 001,F01,5,1.2568586985266668
SN 001,F01,5,1.2555926005033333
SN 001,F01,5,1.25462799072
SN 001,F01,5,1.2559403737366668
SN 001,F01,5,1.2569544474266665
SN 001,F01,5,1.2572559356666666
SN 001,F01,5,1.2578758239733332
SN 001,F01,5,1.2587769826233335
SN 001,F01,5,1.26141268412
SN 001,F01,5,1.26370824178
SN 001,F01,5,1.2656945546466667
SN 001,F01,5,1.2662448883033333
SN 001,F01,5,1.26728210449
SN 001,F01,5,1.2667596181233334
SN 001,F01,5,1.26339441935
SN 001,F01,5,1.26088396708
SN 001,F01,5,1.26137860616
SN 001,F01,5,1.2572713216133333
SN 001,F01,5,1.2537530263233334
SN 001,F01,5,1.2611267089833333
SN 001,F01,5,1.2711327870666667
SN 001,F01,5,1.2754657745333333
SN 001,F01,5,1.2712286631233334
SN 001,F01,5,1.2607308705633333
SN 001,F01,5,1.2533929189033333
SN 001,F01,5,1.25464960734
SN 001,F01,5,1.2621036529533332
SN 001,F01,5,1.2690242767333333
SN 001,F01,5,1.2667689005533334
SN 001,F01,5,1.2589763641333334
SN 001,F01,5,1.2551829020166667
SN 001,F01,5,1.2501960754366666
SN 001,F01,5,1.24522781372
SN 001,F01,5,1.2383813222233333
SN 001,F01,5,1.2346605936666668
SN 001,F01,5,1.2338119506833332
SN 001,F01,5,1.2398282368966667
SN 001,F01,5,1.2474414825433333
SN 001,F01,5,1.2456513722733333
SN 001,F01,5,1.2446497599266666
SN 001,F01,5,1.2488465627033334
SN 001,F01,5,1.2516846974666669
SN 001,F01,5,1.2522257486966666
SN 001,F01,5,1.25343310038
SN 001,F01,5,1.2575110117566666
SN 001,F01,5,1.2521778106666666
SN 001,F01,5,1.2460193633999999
SN 001,F01,5,1.2482468922899999
SN 001,F01,5,1.24447962443
SN 001,F01,5,1.2440467834466666
SN 001,F01,5,1.2408593495666667
SN 001,F01,5,1.2361723581933333
SN 001,F01,5,1.2355278015133335
SN 001,F01,5,1.2359699249266667
SN 001,F01,5,1.2440081278466666
SN 001,F01,5,1.2390059153233333
SN 001,F01,5,1.2361738840733334
SN 001,F01,5,1.23669637044
SN 001,F01,5,1.2340778350800001
SN 001,F01,5,1.2321516672766668
SN 001,F01,5,1.2311190287266667
SN 001,F01,6,1.2242262522366665
SN 001,F01,6,1.2245168050100002
SN 001,F01,6,1.2239819844533335
SN 001,F01,6,1.2242556254066665
SN 001,F01,6,1.22491264343
